Gmt time,Open,High,Low,Close,Volume
01.01.2018 00:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 01:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 02:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 03:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 04:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 05:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 06:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 07:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 08:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 09:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 10:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 11:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 12:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 13:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 14:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 15:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 16:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 17:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 18:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 19:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 20:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 21:00:00.000,1.25676,1.25676,1.25676,1.25676,0
01.01.2018 22:00:00.000,1.25420,1.25533,1.25398,1.25524,1191.39
01.01.2018 23:00:00.000,1.25524,1.25590,1.25507,1.25566,2737.29
02.01.2018 00:00:00.000,1.25566,1.25569,1.25451,1.25453,1992.58
02.01.2018 01:00:00.000,1.25452,1.25468,1.25375,1.25424,2926.5901
02.01.2018 02:00:00.000,1.25424,1.25470,1.25422,1.25454,2055.3601
02.01.2018 03:00:00.000,1.25454,1.25456,1.25316,1.25345,2691.71
02.01.2018 04:00:00.000,1.25346,1.25389,1.25322,1.25348,1595.65
02.01.2018 05:00:00.000,1.25348,1.25348,1.25297,1.25317,1657.8199
02.01.2018 06:00:00.000,1.25317,1.25365,1.25258,1.25269,2655.7
02.01.2018 07:00:00.000,1.25269,1.25315,1.25201,1.25254,4818.1201
02.01.2018 08:00:00.000,1.25256,1.25352,1.25200,1.25257,4856.8301
02.01.2018 09:00:00.000,1.25254,1.25311,1.25198,1.25301,5409.23
02.01.2018 10:00:00.000,1.25301,1.25411,1.25275,1.25373,5184.8599
02.01.2018 11:00:00.000,1.25373,1.25493,1.25362,1.25488,5815.71
02.01.2018 12:00:00.000,1.25487,1.25493,1.25302,1.25402,6469.0698
02.01.2018 13:00:00.000,1.25403,1.25464,1.25303,1.25333,7270.3901
02.01.2018 14:00:00.000,1.25333,1.25441,1.25234,1.25400,8758.8096
02.01.2018 15:00:00.000,1.25397,1.25413,1.25026,1.25026,10025.3301
02.01.2018 16:00:00.000,1.25026,1.25121,1.24999,1.25078,8199.9805
02.01.2018 17:00:00.000,1.25078,1.25107,1.24998,1.25074,5436.79
02.01.2018 18:00:00.000,1.25073,1.25097,1.25055,1.25066,4226.54
